Domain,Facility/Service/Attraction,Terminal,Area,Level,Opening Hour,Description
Facilities & Services,Ground Transport Concierge,T4,Public,"Arrival hall, level 1 (next to information counter)",,"THE EASIER WAY TO GET AROUND The Ground Transport Concierge (GTC) is a 24-hour transport service designed to handle passengers' transportation needs. It is located in the Arrival Hall of each terminal. Transportation options available at the GTC include: 4-seater vehicle (S$55.00 per trip to any destination in Singapore) 7-seater vehicle (S$60.00 per trip to any destination in Singapore) City Shuttle (S$10.00 per adult or S$7.00 per child below 12 years of age) to selected downtown areas. The City Shuttle departs every hour from 0700 - 2300hrs Tanah Merah Ferry Terminal (TMFT) shuttle (S$4.00 per person) operates from TMFT - Terminal 1 – Terminal 4 - TMFT, operating hours from 12:00PM to 07:30PM. Payment and booking only available at GTC. For advanced bookings, please contact the GTC at +65 9656 6258 or book online here . (not applicable for TMFT shuttle service)"
Facilities & Services,Immigration & Customers,,,,,"GST Refund GST Refund When you buy goods in Singapore, you are required to pay GST on your purchases if the retailer is registered for GST. The Tourist Refund Scheme (TRS) allows you to claim a refund of the GST that you paid on goods purchased from the participating retailers if they are brought out of Singapore via Changi International Airport or Seletar Airport, subject to the criteria and conditions of the scheme. How does the Electronic Tourist Refund Scheme (eTRS) work? The Tourist Refund Scheme (TRS) allows eligible tourists to claim a refund of the GST that you paid on goods purchased from the participating retailers if they are brought out of Singapore via Changi Airport or Seletar Airport. To be eligible for a GST refund under this scheme, you must satisfy all the following criteria: You are 16 years of age or above on the date of the purchase; You are not a citizen or a permanent resident of Singapore; You are not a member of the crew of an aircraft on which you are departing Singapore; and You are not a Specified Person* - on the date of the purchase; at any time within the period of 3 months immediately before the date of purchase; or on the date you submit your claim for a refund of the GST charged on your purchases at the airport; *For the definition of Specified Person, please refer to the GST Refund Guide for Visitors on Tourist Refund Scheme (link below) As of 1 April 2019, the eTRS will be a paperless process; you will no longer receive an eTRS ticket and purchases will be tagged to the your passport. If you wish to claim GST Refund on your purchases, you should present your passport at the retailers upon payment. To review or select your purchases for GST Refund, you may wish to visit the e-services portal at https://touristrefund.sg . Applying for GST Refund can be done at GST Refund facilities at the terminal of your departure. For claims on items to be checked-in, GST Refund has to be done before your flight check-in. For claims on hand-carried items, GST Refund has to be done in departure transit after clearing immigration. Don’t forget to collect your original receipt or invoice before leaving the shop. Which retailers participate in eTRS? As eTRS is a voluntary scheme, not all retailers in Singapore operate the scheme. GST-registered retailers may choose to operate the scheme on their own or engage the services of a Central Refund Agency. There are currently three Central Refund Agencies in Singapore: Global Blue Singapore Pte. Ltd. Global Blue retailers affiliated with this agency display a 'Global Blue' sign in their shops. Website: http://www.globalblue.com/ Global Tax Free Pte. Ltd. Global Tax Free retailers affiliated with this agency display a 'Global Tax Free' sign in their shops. Website: http://www.global-taxfree.com.sg Retailers who operate the scheme on their own usually display signs that indicate 'Tax Refund' in their shops. However, it is best that you check with the retailers if they are operating the scheme. How much GST refund can I receive? The actual amount refunded may be lesser than the GST you have paid as a handling fee for the refund service will be deducted by the retailer, Central Refund Agency or operator of Central Refund Counter. How do I obtain my GST refund? Do arrive at the airport early to allow sufficient time for your GST refund to be processed and goods to be inspected, if necessary. You are required to seek endorsement at the Customs Inspection Counter in the terminal where you will be checking-in your goods or where your flight will be departing from. You must also depart with the goods on a flight within 12 hours after obtaining approval of your GST refund. For check-in items: Prior to checking-in the goods, please proceed to the eTRS self-help kiosk at the Departure Check-in Hall (before Departure Immigration) to apply for GST Refund. For hand-carried items: Please proceed to the eTRS self-help kiosk at Departure Transit Lounge (after Departure Immigration) to apply for GST Refund. At the kiosk, you will be asked to: Select your preferred language Scan your passport Declare your eligibility and acceptance of the TRS conditions Select / Deselect the purchases you wish to apply for GST Refund Select your refund options; Cash, Credit Card or Alipay Once you have completed the steps above, you will be shown the status of your refund on the kiosk. If your purchases need to be inspected, please proceed to the Customs Inspection Counter for the physical inspection of the goods. Please present the goods, together with your passport, the original invoice(s) or receipt(s) and your confirmed flight itinerary or boarding pass to the Customs Inspection Counter for endorsement. Refund via Credit Card The approved refund amount will be credited to the specified credit card within 10 calendar days. Refund via Cash Please proceed to the GST Cash Refund Counter in the Departure Transit Lounge (after Departure Immigration) to collect your cash. Refund via Alipay Follow through the instructions at the kiosks or counter to receive your Alipay refund. Where do I obtain my GST refund? The GST refund counters are located at both public and transit areas, and are open 24 hours, daily. Terminal 1 Public, Departure Hall (near Check-in Rows 3 and 4) Terminal 1 Transit (near iShopChangi Collection Centre and Charles & Keith) Terminal 3 Public, Departure Hall (between Check-in Rows 5 and 6) Terminal 3 Transit (near iShopChangi Collection Centre and Lotte Duty Free) GST Refund is also located at Jewel (level 1, next to Changi Lounge), please note that this service is only available to passengers who use Early Check-in facility at Jewel. For further details on GST refund, please click here Tourist Refund Scheme (Singapore Customs) Guide for Visitors on Tourist Refund Scheme"
Facilities & Services,International Delivery,,,,,"SHIP WORDWIDE - CONVENIENT AND HASSLE-FREE Operated by Baggage Storage, the service provides international delivery by DHL Express at a charge. It is available to passengers and airport community who have non-dangerous goods for shipping. For enquiries and types of boxes available for shipping, please contact Baggage Storage at Changi Airport Jewel, #01-302 (next to Early Check-in) Changi Airport T3, Arrival Hall, #01-40 Changi Airport T2, Arrival Hall, #01-01"
Facilities & Services,Internet Connection,,,,,"STAY CONNECTED IN CHANGI With complimentary WiFi@Changi, it's easy to stay connected. WiFi@Changi Enjoy free WiFi in both the public and transit areas of Changi Airport with # WiFi@Changi. Simply follow the steps below to start surfing: Select #WiFi@Changi . Launch your Internet browser (e.g., Safari, Chrome, Firefox Internet Explorer) and key in a valid website address to access the login page. Next, click on the WiFi logo and enjoy your 3 hours of free WiFi."
Facilities & Services,Local-Sim Card Purchase,,,,,"CONNECT LIKE A LOCAL Stay connected with pre-paid SIM cards available for pick up at all Money Changers and the following locations: Terminal 1 Level 2, Departure Hall Money Changers; Cheers Level 2, Departure Transit Hall 7-Eleven, near to D gates Level 1, Arrival Hall Changi Recommends; Changi Meet & Greet; Money Changers; Starhub Terminal 2 Level 2, Departure Hall Cheers; Money Changer Level 2, Departure Transit Hall 7-Eleven, near to D gates Level 3, Departure Transit Hall Central 7-Eleven Level 1, Arrival Hall Changi Recommends; Changi Meet & Greet; Money Changers; Starhub Terminal 3 Level 2, Departure Hall Money Changers Level 1, Arrival Hall Changi Recommends; Changi Meet & Greet; Cheers; Money Changers; Starhub Basement 2, Public area 7-Eleven Terminal 4 Level 2, Departure Hall Money Changers Level 1, Arrival Hall Changi Recommends; Changi Meet & Greet; Cheers; Money Changers; Starhub"
Facilities & Services,Lost and Found,,,,," RECOVER YOUR MISPLACED ITEMS Airport Lost and Found For matters about lost items within the premises of Changi Airport, please click here . Items misplaced/ lost onboard the aircraft For all baggage-related enquiries or items left onboard aircraft, please proceed to the Lost and Found counter at the Baggage Claim Area for assistance. You can also contact the handling agent representing the airline you travelled with. Click here to find out which handling agent services your airline. Terminals 1 and 3 Hotline: 1800 723 1423 (toll-free, 24 hours for Terminal 1; 08:30AM to 02:00AM for Terminal 3) +65 6723 1188 (for overseas callers) Terminal 4 Hotline: +65 6581 1595 (08:30AM to 02:00AM) Email address: baggageservicesSG@dnata.com Terminals 2 and 3 Singapore Airlines Group Hotline: +65 6597 4501 (07:30AM to 11:30PM) You may also file a delayed baggage report with Singapore Airlines here . To submit a search request for an item left on a Singapore Airlines aircraft arriving in Singapore or in a Singapore Airlines operated lounge in Singapore, please click here . Terminals 1, 2 and 3 Other Airlines Hotline: +65 6597 4500 (07:30AM to 11:30PM) Terminal 4 Hotline: +65 6321 5103 / +65 6321 5102 (24 hours)"
Facilities & Services,Movie Theatre,T3,Transit,"Level 3, Departure Transit Hall North (near the Ambassador Transit Lounge)",24 hours daily,"CATCH THE LATEST BLOCKBUSTERS ON THE BIG SCREEN If you have time to spare while waiting for your flight, why not head to the movie theatre in Terminal 3? You'll be able to enjoy the latest movies and different genres in comfort. Screenings are available free-of-charge for your viewing pleasure and both movie theatres are open 24 hours, daily. Screening Schedules: Terminal 3 Weekly Maintenance: Terminal 3: Between 11:00 AM and 4:00 PM on Thursdays."
Facilities & Services,Passenger meeting Services,T1,Public,"Level 1, Arrival Meeting Hall (near Starhub)",,"ENJOY A WARM AND HELPFUL WELCOME Experience a warm welcome and fond farewell with Changi Meet & Greet Services. Whether you're arriving, departing or transiting, we strive to make your trip with us a safe, seamless and unforgettable with our immigration assistance and porter services. Greetings at the arrival gates, as well as airport transfers to the city or your hotel can also be arranged. Advance booking is required 48 hours prior to arrival time. For online bookings, please visit www.changimeetandgreet.com You may also contact us at: Tel: +65 6701 1185 Email: changimeetgreet@changirecommends.com.sg"
Facilities & Services,Passenger meeting Services,T2,Public,"Level 1, Arrival Meeting Hall Central (near Information Counter)",,"ENJOY A WARM AND HELPFUL WELCOME Experience a warm welcome and fond farewell with Changi Meet & Greet Services. Whether you're arriving, departing or transiting, we strive to make your trip with us a safe, seamless and unforgettable with our immigration assistance and porter services. Greetings at the arrival gates, as well as airport transfers to the city or your hotel can also be arranged. Advance booking is required 48 hours prior to arrival time. For online bookings, please visit www.changimeetandgreet.com You may also contact us at: Tel: +65 6701 1185 Email: changimeetgreet@changirecommends.com.sg"
Facilities & Services,Passenger meeting Services,T3,Public,"Level 1, Arrival Meeting Hall North (near the T3 Slide)",,"ENJOY A WARM AND HELPFUL WELCOME Experience a warm welcome and fond farewell with Changi Meet & Greet Services. Whether you're arriving, departing or transiting, we strive to make your trip with us a safe, seamless and unforgettable with our immigration assistance and porter services. Greetings at the arrival gates, as well as airport transfers to the city or your hotel can also be arranged. Advance booking is required 48 hours prior to arrival time. For online bookings, please visit www.changimeetandgreet.com You may also contact us at: Tel: +65 6701 1185 Email: changimeetgreet@changirecommends.com.sg"
Facilities & Services,Passenger meeting Services,T4,Public,"Level 1, Arrival Meeting Hall (near Cheers)",,"ENJOY A WARM AND HELPFUL WELCOME Experience a warm welcome and fond farewell with Changi Meet & Greet Services. Whether you're arriving, departing or transiting, we strive to make your trip with us a safe, seamless and unforgettable with our immigration assistance and porter services. Greetings at the arrival gates, as well as airport transfers to the city or your hotel can also be arranged. Advance booking is required 48 hours prior to arrival time. For online bookings, please visit www.changimeetandgreet.com You may also contact us at: Tel: +65 6701 1185 Email: changimeetgreet@changirecommends.com.sg"
Facilities & Services,Pay-Per-Use Bicycle Lockers,,,,,
Facilities & Services,Pay-Per use Lounges,,,,,"ENJOY AN ELITE TRAVEL EXPERIENCE AT YOUR LEISURE Relax in tranquil environments before, after or between flights at these pay-per-use lounges located at Terminals 1, 2, 3, 4 and Jewel. Whether you’re looking for a place to take a nap, freshen up with a shower, get a workout in a gym, or simply want to pamper yourself with a massage, you can enjoy all these facilities and services for a fee. Plaza Premium Lounge Location: Terminal 1, Level 3, Departure Transit Hall (above Gate C1) Operating Hours: 24 hours, daily Tel: +65 6443 2730 Email: singapore@plaza-network.com Website: www.plazapremiumlounge.com Map Enjoy award-winning facilities and services, while savouring delectable signature dishes such as Singapore Laksa and Chicken Rice. You can also relax in private resting suites and enjoy refreshing showers with full amenities. Food and beverage is available 24/7. * *Prices are in Singapore Dollars and subject to prevailing local taxes and service charges SERVICE TYPE NO. OF HOURS RATE Lounge Use Adult 3 hours S$55 5 hours S$97 10 hours S$195 Child (above 2 years old) 5 hours S$55 Child (below 2 years old) Complimentary Private Resting Suite Single Suite 6 hours S$155.51 Extension per hour S$21 Family Suite 6 hours S$225.54 Extension per hour S$21 Ambassador Transit Lounge Location: Terminal 2, Level 3, Departure Transit Hall Operating Hours: 24 hours, daily Tel: +65 62 41 0978 Map Email: atl@harilelahospitality.com Website: http://www.harilelahospitality.com/ The Ambassador Transit Lounge offers passengers a spacious, yet cosy, environment where you can unwind and wait in comfort for your next flight. In-lounge facilities include printing services, workstations, gym, shower facilities and amenities, as well as private napping suites. SERVICE TYPE NO. OF HOURS RATE Lounge Use Adult 3 hours S$55 5 hours S$97 10 hours S$195 Child (above 2 years old) 5 hours S$55 Child (below 2 years old) Complimentary Private Nap Room Adult 6 hours S$120 Extension per hour S$15 CONNECT AT CHANGI AIRPORT Location: Terminal 2, Level 3, Departure Transit Hall, Lounge Central Operating Hours: 06:15am - 07:00pm Map ‘CONNECT’- a collaboration between Changi Airport Group and Garage Society A space to CONNECT with like-minded, international business networking community. A new facility for passengers with a high aptitude for networking and keen interest in a collaborative environment. CONNECT.NETWORK.WORK Whether you’re looking for a space to work during transit, or a place to chat over coffee, passengers can enjoy this facility with a nominal fee. Modern business networking lounge for travellers to join the community Convenient working hub with F&B service, private meeting room, dedicated internet and phone booths Knowledge and innovation sharing event space with multi-touch display Ambassador Transit Lounge Location: Terminal 3, Level 3, Departure Transit Hall (next to the Movie Theatre) Operating Hours: 24hrs, daily Tel: +65 6507 9798 Map Email: atl@harilelahospitality.com Website: http://www.harilelahospitality.com/ The Ambassador Transit Lounge offers passengers a spacious, yet cosy, environment where you can unwind and wait in comfort for your next flight. Guests can make use of the printing services, workstations, gym, shower facilities and amenities, beauty and massage services, as well as private napping suites. SERVICE TYPE NO. OF HOURS RATE Lounge Use Adult 3 hours S$55 5 hours S$97 10 hours S$195 Child (above 2 years old) 5 hours S$55 Child (below 2 years old) Complimentary Private Nap Room Adult 6 hours S$120 Extension per hour S$15 Blossom - SATS & Plaza Premium Lounge Location: Terminal 4, Departure Transit Hall, Level 2M (near 7-Eleven) Operating Hours: 24hrs, daily Tel: + 6243 9070 Map The Blossom Lounge offers catering services, shower facilities and a hospitality area, where you can have a massage, manicure or pedicure before your flight. You can also get your favourite beverages at the bar. SERVICE TYPE NO. OF HOURS RATE Lounge Use Adult 3 hours S$55 5 hours S$97 10 hours S$195 Child (above 2 years old) 5 hours S$55 Child (below 2 years old) Complimentary Napping Plus with Massage Adult 3 hours S$96 Massage Facilities Adult 15 minutes S$18 30 minutes S$30 60 minutes S$54 Changi Lounge Location: Jewel Changi Airport, Level 1 (public area) Operating Hours: 6:00 am to 10:00 pm daily (Last order at 9:00 pm) Tel: +65 6513 8743 Email: reservations.changilounge@changiairport.com Website: www.changiairport.com/changilounge Looking for a tranquil environment to refresh yourself in between your travel plans? Enjoy free flow of light snack, comfortable seating and high-speed internet connectivity. There are also shower room and nap room facilities, for those who seek to be rejuvenated before the next leg of their journey. Private meeting rooms are also available for booking. Note: Priority Pass (including LoungeKey and LoungeKey Pass), Dragon Pass and DreamFolks members are accepted with valid boarding pass.  CHANGI LOUNGE RATES Enjoy 3 hours of lounge access catered to your different needs. Lite Package: Adult: S$28++  |   Child: S$20++ 3h lounge access Free flow snack bar Classic Package: Adult: S$39++  |   Child: S$27++ 3-hour lounge access Free flow snack bar One hot meal One beer Premium Package: Adult: S$50++  |   Child: S$39++ 3-hour lounge access Free flow snack bar One hot meal One beer One shower Shower only (includes linen and toiletries): 20-minute shower slot: S$20++ (last shower slot at 09:25 PM) Meeting Room: (Includes stationery, presentation facility and access to snack bar) Single Room (up to 4 guests): S$80 for first hour S$80++ for one hour S$150++ for two hours S$250++ for four hours S$440++ for eight hours Additional guest (up to 8) per hour: S$10++ per guest Double Room (up to 8 guests): S$160++ for one hour S$300++ for two hours S$500++ for four hours S$880++ for eight hours Additional guest (up to 16) per hour: S$10++ per guest Extra Perk: Enjoy free parking* for 50% of guests with minimum of 2-hour meeting room booking. To book a meeting room, please write in to reservations.changilounge@changiairport.com . *Valid for Jewel / Terminal 1 carpark levels B3 to B5 only. Terms and conditions apply. Terms and Conditions Jet Quay Lounge Location: JetQuay CIP Terminal Operating Hours: 24 hours daily Tel: +65 6262 2220 Email: reservations@jetquay.com.sg Website: www.jetquay.com.sg Facebook: https://www.facebook.com/JetQuayTerminal/ SERVICE TYPE NO. OF HOURS RATE Quayside Lounge access Private check-in Private immigration Buggy transfer to gate Adult To arrive at Jetquay 2 hours before flight S$450 Sleeping Suite Shower facilities Lounge access Adult 1 - 6 hours (Half-day) S$120 Per hour extension S$20 10 - 22 hours (Full day) S$200 Lounge Access Adult 1 - 3 hours S$50 Note Maximum number of guest per Sleeping Suite is 1 adult Complimentary for infants age 2 and below Prices are subjected to 9% GST · Garden Lounge Location: Hub & Spoke (Public area beside Terminal 2) Operating hours: 7:30 am to 10:00 pm daily Website: Garden Lounge Map The Garden Lounge at Hub & Spoke offers an alfresco setting for travellers to rest and enjoy a meal before or after their flight. Travellers who flash a valid boarding pass or proof of itinerary within 8 hours of stated arrival or departure time will be entitled to a 20% discount off all food and drinks (except alcohol) at Hub & Spoke Café and Overflow. Travellers can also enjoy complimentary Wi-Fi and digital reading materials, or purchase add-ons on site. Facility Price Location Pay-per-use Showers S$5 Single-entry S$7 Two-time entry Purchase at the entrance of the shower facility Disposable towels S$4.50/piece Purchase from vending machines at the entrance of shower facility Pay-per-use Gym From S$7.50/session Purchase at Exercise Pods (Gym Pod) Pay-per-use class-based fitness activity From S$10/session Purchase at Exercise Pods (Flow Pod) Bicycle Rental From S$8/hour Purchase at the bicycle rental shop (GoCycling) Operating hours: Monday to Friday: 10:00 am - 8:00 pm Saturday, Sunday and Public Holidays: 9:00 am - 9:00 pm"
Facilities & Services,Pay-Per-Use-Shower-And Locker Facilities,Hub & Spoke,Public,,7:00AM to 10:00PM Daily,"Freshen up at the pay-per-use shower facilities located at Hub & Spoke (beside Terminal 2). The showers are fully equipped with bath amenities and lockers for safekeeping of personal belongings. To access, purchase an entry pass from the adjacent Hub & Spoke Café or via Changi Airport’s mobile application. Scan the entry pass QR code at the entrance of the shower facility to enter. Click here to download the Changi app. You may also pre-purchase a Pay-per-use Shower and Towel bundle with the option to add-on an F&B discount voucher from Klook . Price: S$5.00 per person per entry S$7.00 per person for a 2-time entry Note: 1. Amenities such as hot water, shampoo, body wash and hair dryer are provided. 2. Towel is not provided. Visitors may purchase a single-use towel from the vending machines at Hub & Spoke. Terms and Conditions"
Facilities & Services,Pick Up Points,,,,,GET TO OUR DESIGNATED PICK-UP POINTS Picking up—or getting picked up by—your loved ones? Head to our designated pick-up points at the following locations: Please be informed that drivers are not allowed to park their vehicles or wait for passengers at the Departure or Arrival kerbside or pick-up points. This is to ease traffic conditions and ensure operational efficiency at Changi Airport. Passengers are encouraged to drop off at the kerbside nearest to the check-in rows that they are checking in at.
Facilities & Services,Play Area,,,,,"KEEP THE LITTLE ONES ENTERTAINED It’s fun times ahead for children aged 1 to 12. Indoors and away from the heat, our air-conditioned playgrounds let your little ones play and make new friends in comfort. The engaging obstacles will keep them occupied for hours! Public Level 3 (next to Viewing Mall) Map Transit Level 2, Departure Transit Hall North Public Basement 2 (next to The Blues) Map Transit Level 2, Departure Transit Hall Central (next to Louis Vuitton Duplex Store) Map Transit Level 1, Departure Transit Hall (The Chandelier) Map"
Facilities & Services,Porter Service,,,,,"LET US ASSIST YOU WITH YOUR BAGS A porter service is available at all terminals to help you with your luggage. For departing passengers, this service will assist you with your luggage from your vehicle at the kerbside to the check-in counter. For arriving passengers, this service will assist you with your luggage from the baggage claim belt to your vehicle. Please make your booking at least 6 hours before your flight departs or arrives. Rates Up to 20 items S$5.00 per item (a minimum charge of S$15.00 applies) From 21 items onwards Our staff will contact you on the pricing and arrangement Note: A S$8.00 surcharge for transfer to T1, T2 and T3 will apply. A S$14.00 surcharge to and from T4 and Yotel at Jewel will apply. Only online payment is available as cash payment has discontinued. Pick-up Points Porter will greet you at the following locations: Departure drop-off point or Arrival baggage claim area Please click here to book our porter service in advance. For more information: Tel: +65 9615 0072 Email: feedback@smartecarte.com.sg"
Facilities & Services,Prayer Rooms,T1,Transit,"Level 3, Departure Transit Hall East",,"PRAYER ROOMS For a quiet, devotional moment, make your way to our prayer rooms located across all terminals."
Facilities & Services,Prayer Rooms,T2,Transit,"Level 3, Departure Transit Hall Central",,"PRAYER ROOMS For a quiet, devotional moment, make your way to our prayer rooms located across all terminals."
Facilities & Services,Prayer Rooms,T3,Transit,"Level 2, Departure Transit Hall South",,"PRAYER ROOMS For a quiet, devotional moment, make your way to our prayer rooms located across all terminals."
Facilities & Services,Prayer Rooms,T4,Transit,"Level 2M, Departure Transit Hall",,"PRAYER ROOMS For a quiet, devotional moment, make your way to our prayer rooms located across all terminals."
Facilities & Services,Shower and Spa Services,,,,,"FEEL REFRESHED AND REVITALISED Rejuvenate after your long flight. Visit our paid lounges for shower facilities, nail care, foot reflexology and massage therapies. Charges apply for both lounge access and services. Plaza Premier Lounge Level 3, Departure Transit Hall (near C Gates) For more information, please call +65 6443 2730 . Operating Hours: 24 hours, daily Map Ambassador Transit Lounge Level 3, Departure Transit Hall Central (near F Gates) For more information, please call +65 6214 1778 . Operating Hours: 24 hours, daily Map Ambassador Transit Lounge Level 3, Departure Transit Hall For more information, please call +65 6507 9798 . Operating Hours: 24 hours, daily Map Be Relax Level 2, Departure Transit Hall For more information, please call +65 6241 7764 . Operating Hours: 8:00AM - 11:00PM, daily Map Natureland Spa Level 1, Arrival Meeting Hall For more information, please call +65 6588 6780 . Operating Hours: 9:00AM - 10:30PM, daily Changi Lounge Level 1, #01-304 (next to Lift Lobby E) For more information, please click here or call +65 65138743 Operating hours: 9.00AM - 9.00PM, daily (last slot at 8.00PM) Showers at Hub & Spoke Public, Level 1, outside Terminal 2 For more information, please click here Operating Hours: 7:00AM to 10:00PM, daily"
Facilities & Services,Smoking Areas,,,,,"LIGHT UP IN DESIGNATED AREAS If you wish to smoke, please make your way to one of our designated air-conditioned or open-air smoking areas. Level 2, Departure Transit Hall East (near Gate C16) Level 2, Departure Transit Hall East (near Gate D36) Level 2, Departure Transit Hall West (Outdoor Deck) Level 3, Departure Transit Hall West (near Cactus Garden) Level 3, Departure Transit Hall Central (near Snooze Lounge) Level 2, Departure Transit Hall, South Finger Pier (Pavilion Lounge) Level 2, Departure Transit Hall South (next to GST refund counters) Level 3, Departure Transit Hall South (Sunflower Garden) Level 2, Departure Transit Hall, North Finger Pier (Sanctuary Lounge) [Notice] The following facilities are temporarily suspended until further notice. Level 2, Departure Transit Hall North (opposite the Children’s Play Area) Level 2, Departure Transit Hall North, Indoor Smoking Area (next to Hudson's Coffee) Level 2, Departure Transit Hall South, Indoor Smoking Area (next to Harry's Bar) Level 2, Departure Transit Hall South (Outdoor Garden Terrace) Level 2, Departure Transit Hall, Outdoor Smoking Area (next to Gate A21) Level 2, Departure Transit Hall, Outdoor Smoking Area, (opposite Gate B10) Level 2, Departure Transit Hall North (near Gate G4) Level 2, Departure Transit Hall North  (near Heritage) Level 2, Departure Transit Hall North Pier (near Gate G16) Level 2M, Departure Transit Hall"
Facilities & Services,Convenience Stores,,,,,"PICK UP SOME ESSENTIALS From snacks to travel-sized toiletries, our convenience stores and supermarkets are stocked with a wide range of products for all your needs. Terminal 1 7-Eleven (Level 2, Departure Transit Hall) Cheers (Level 2, Departure Hall, near Check-in row 1) Terminal 2 Cheers (Level 2, Departure Hall, near Check-in row 10) 7-Eleven (Level 2, Departure Transit Hall, near E gates and Level 3, Departure Transit Hall Central) Terminal 3 FairPrice Finest (Basement 2, Public Area) Cheers (Level 1, Arrival Hall and Level 2, Departure Hall) 7-Eleven (Basement 2, Public Area and Level 3, Departure Transit Hall) Terminal 4 Cheers (Level 1, Arrival Hall) 7-Eleven (Level 2M, Departure Transit Hall)"
Facilities & Services,Swimming Pool with Jacuzzi,T1,Transit,"Aerotel Airport Transit Hotel, Level 3, Departure Transit Hall (near D Gates)",,"TAKE A REFRESHING DIP IN THE ROOFTOP POOL Have a leisurely swim and watch planes take off from the runway at the same time! Located at Aerotel Airport Transit Hotel at Terminal 1, the pool also features a jacuzzi, poolside bar and includes towels and shower facilities. Travellers are invited to relax and enjoy these facilities while waiting for their next flight. Cost per person: S$25++ per adult* Operating hours: 12:00 PM–10:00 PM, daily *Guests of Aerotel Airport Transit Hotel enjoy complimentary use of these facilities."
Facilities & Services,Gym Pod,Hub & Spoke,Public,,24 hours daily,Visit the Gym Pods at Hub & Spoke (beside Terminal 2) for a quick fitness session at your convenience. The Gym Pod Enjoy a workout in the complete privacy of a container gym with commercial-grade work out equipment. Price: From S$7.50 per session The Flow Pod Attend a class-based fitness activities with options ranging from HIIT to barrre or yoga at the comfort of a private virtual setting. Price: From S$10 per session Find out more and book a session here .
Facilities & Services,Transit Hotels,,,,,"THE PERFECT WAY TO REST AND REFRESH Weary after a long flight? Book a comfortable room without having to clear immigration at the transit hotels. Please do not clear immigration if you wish to stay at a transit hotel. Aerotel Airport Transit Hotel Terminal 1 Location: Level 3, Departure Transit Hall (above Gate D41) Operating Hours: 24 hours daily Tel: +65 6808 2388 Email: rsvn.sin@myaerotel.com Website: https://www.myaerotel.com/en-uk/find/asia-pacific/singapore/singapore Map Whether it is an overnight stay or a quick nap to fight jetlag, travellers can configure booking hours to suit their needs at the Aerotel Airport Transit Hotel. With sleek and carefully-tailored designs, travellers can look forward to rooms which are well-equipped with power showers and an array of amenities, as well as a swimming pool with jacuzzi to refresh, relax and rest while in transit. Passengers can learn more about our rates for Aerotel Airport Transit Hotel below: https://www.myaerotel.com/en-uk/find/asia-pacific/singapore/singapore Ambassador Transit Hotel Terminal 2 Location: Level 3, Departure Transit Hall South Operating Hours: 24 hours Tel: +65 6542 8122 Map Terminal 3 Location: Level 3, Departure Transit Hall (next to the Movie Theatre) Operating Hours: 24 hours Tel: +65 6507 9788 Map Email: enquiry@harilelahospitality.com Website: http://www.harilelahospitality.com/ Located within the Departure Transit Hall of Changi Airport, the Ambassador Transit Hotels are equipped with a host of facilities that provide passengers with everything they need for a comfortable stay. Wake-up call services are also available, so you don't have to worry about missing your flight. Passengers can learn more about our rates for Ambassador Transit Hotel below: https://www.harilelahospitality.com/terminal-3-new JetQuay Sleeping Suite Location: JetQuay CIP Terminal Operating Hours: 24 hours daily Tel: +65 6262 2220 Email: reservations@jetquay.com.sg Website: www.jetquay.com.sg Facebook: https://www.facebook.com/JetQuayTerminal/ Immerse yourself in a one-of-a-kind ambience with enhanced comforts when you arrive, depart or transit through Changi Airport. With four beautiful suites all boasting a garden view, the JetQuay Suite package is available for a stay of six hours, which can be extended upon request. The package is inclusive of a shower, meal, and lounge access. RATES S$120 for first 6 hours, S$20 per hour extension thereafter. S$200 for 10 - 22 hours. Note Maximum number of guest per room is 1 adult. Complimentary stay for infants age 2 and below. Please note that you will need to have a Quayside or Jetside service booking to use the sleeping suite. You will also need to clear the private immigration at JetQuay first, before you are able to access the facilities. Prices are subjected to 8% GST."
Facilities & Services,Tv Lounge,,,,,"SIT BACK, RELAX AND ENJOY THE SHOW Waiting for a flight? Enjoy your favourite TV shows with great quality sound, while lounging on plush seats. Terminal 1 Level 2, Departure Transit Hall (near Paul's) Level 3, Departure Transit Hall (besides Burger King) Level 3, Departure Transit Hall (near Crystal Jade) Terminal 2 Level 2, Departure Transit Hall (next to iShopChangi) Terminal 3 Level 2, Departure Transit Hall (near to Hudson's Coffee) Level 2, Departure Transit Hall (near to Electronics shop) Level 2, Departure Transit Hall (near to BeRelax Spa) Level 2, Departure Transit Hall (near to gate A15) Level 2, Departure Transit Hall (near to gate A21) Terminal 4 Level 2, Departure Transit Hall (near to Tiger Den)"
Facilities & Services,Vending Machines,Hub & Spoke,Public,,24 hours daily,"A wide variety of essential items are available for purchase at the vending machine located at Hub & Spoke. From disposable towels to bicycle lubricants and multitools, this one-stop shop ensures you have all your refreshment and cycling necessities at your fingertips."
Facilities & Services,Wheelchairs and Accessibility Aids,,,,,"REQUEST FOR WHEELCHAIRS & ACCESSIBILITY AIDS The Information and Customer Service counters in Changi Airport offer wheelchairs to passengers on a complimentary and first-come first-served basis. Wheelchairs are also available for loan at the Concierge counters in Jewel. Do note that a nominal refundable deposit is required. Alternatively, you may also make a direct request to your airline for wheelchair services and a minder at the time of your flight booking or during check-in."
